TIME_PERIOD,VICTIMIZATION_PRIMARY,AGE,SEX,RACE,NUMBER_OF_VICTIMS
6/30/2003,BATTERY,UNKNOWN,M,WWH,6
12/31/2019,CRIMINAL SEXUAL ASSAULT,20-29,F,API,2
12/31/2007,ASSAULT,30-39,M,BLK,80
6/30/2005,ASSAULT,0-19,F,WBH,1
9/30/2009,ASSAULT,0-19,F,BLK,15
6/30/2015,CRIMINAL SEXUAL ASSAULT,UNKNOWN,F,WWH,1
9/30/2015,CRIMINAL SEXUAL ASSAULT,70-79,F,BLK,3
12/31/2008,ROBBERY,60-69,F,I,1
6/30/2015,ASSAULT,20-29,F,WWH,29
6/30/2005,BATTERY,80+,M,BLK,1
12/31/2018,ROBBERY,20-29,M,BLK,216
12/31/1991,HOMICIDE,30-39,M,BLK,2
6/30/2007,BATTERY,50-59,UNKNOWN,UNKNOWN,1
3/31/2003,BATTERY,UNKNOWN,F,WWH,2
12/31/2020,ROBBERY,0-19,M,BLK,1
3/31/2003,ASSAULT,30-39,M,WHI,36
6/30/2010,ROBBERY,30-39,M,BLK,233
3/31/2019,CRIMINAL SEXUAL ASSAULT,40-49,F,WBH,1
12/31/2007,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,6
3/31/2010,BATTERY,0-19,UNKNOWN,UNKNOWN,1
12/31/2019,CRIMINAL SEXUAL ASSAULT,30-39,M,WHI,3
12/31/2012,ASSAULT,20-29,M,WHI,5
6/30/2021,ASSAULT,20-29,F,API,4
6/30/2010,BATTERY,40-49,M,UNKNOWN,2
12/31/2004,ASSAULT,30-39,M,WWH,7
9/30/2012,BATTERY,20-29,F,WWH,12
6/30/1996,HOMICIDE,0-19,M,BLK,16
12/31/2012,ROBBERY,0-19,F,WBH,1
9/30/2013,ROBBERY,40-49,F,WWH,23
6/30/2006,BATTERY,0-19,F,BLK,64
9/30/2006,ASSAULT,20-29,F,API,1
3/31/2003,BATTERY,60-69,F,WWH,1
6/30/2012,ROBBERY,30-39,M,WWH,115
3/31/1993,HOMICIDE,20-29,M,BLK,3
9/30/2005,ROBBERY,50-59,F,WHI,40
9/30/2003,ASSAULT,40-49,M,WHI,4
12/31/2008,ROBBERY,50-59,F,API,4
12/31/2017,ASSAULT,40-49,F,API,1
12/31/2003,BATTERY,40-49,F,WWH,3
9/30/2002,ROBBERY,70-79,F,WWH,3
6/30/2017,ASSAULT,30-39,F,UNKNOWN,2
3/31/2009,CRIMINAL SEXUAL ASSAULT,50-59,F,WHI,1
3/31/1991,HOMICIDE,20-29,F,BLK,3
9/30/2004,BATTERY,30-39,F,WHI,11
9/30/2002,ASSAULT,0-19,F,WWH,3
9/30/2018,CRIMINAL SEXUAL ASSAULT,30-39,M,BLK,3
6/30/2017,BATTERY,0-19,M,BLK,23
12/31/2011,ASSAULT,30-39,UNKNOWN,UNKNOWN,1
3/31/2005,BATTERY,80+,F,BLK,3
3/31/1997,HOMICIDE,0-19,M,WWH,1
3/31/2005,ROBBERY,20-29,F,WHI,1
6/30/2005,BATTERY,40-49,UNKNOWN,WWH,1
6/30/2008,BATTERY,50-59,F,BLK,25
9/30/2003,ROBBERY,0-19,F,WHI,11
3/31/2013,ROBBERY,30-39,F,WWH,1
12/31/2015,BATTERY,50-59,F,WHI,1
6/30/2009,BATTERY,40-49,F,UNKNOWN,1
3/31/2015,BATTERY,20-29,M,WBH,1
12/31/2010,BATTERY,30-39,M,API,3
3/31/2014,BATTERY,UNKNOWN,M,WWH,1
9/30/2019,ROBBERY,30-39,F,API,7
12/31/2021,ASSAULT,50-59,F,UNKNOWN,1
3/31/2004,BATTERY,40-49,F,WHI,6
12/31/2020,ASSAULT,40-49,F,BLK,47
3/31/2014,BATTERY,0-19,F,WWH,4
6/30/2009,ROBBERY,30-39,F,BLK,10
6/30/2019,BATTERY,60-69,F,BLK,10
9/30/2015,ASSAULT,50-59,M,WWH,2
9/30/2021,BATTERY,0-19,F,BLK,19
6/30/2011,BATTERY,50-59,M,BLK,43
6/30/1996,HOMICIDE,30-39,M,WWH,1
12/31/2014,ROBBERY,30-39,F,WHI,37
3/31/2005,BATTERY,0-19,M,WWH,1
6/30/2011,ROBBERY,20-29,M,UNKNOWN,20
3/31/2011,CRIMINAL SEXUAL ASSAULT,20-29,F,WHI,14
12/31/2004,BATTERY,60-69,F,WHI,1
9/30/2007,BATTERY,0-19,M,API,2
3/31/2015,BATTERY,70-79,F,WHI,1
9/30/2001,BATTERY,50-59,M,API,1
6/30/2010,CRIMINAL SEXUAL ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,2
6/30/2016,ASSAULT,20-29,F,BLK,112
12/31/2002,ROBBERY,20-29,F,WWH,73
12/31/2012,CRIMINAL SEXUAL ASSAULT,0-19,F,API,1
9/30/2014,ROBBERY,60-69,F,WHI,9
9/30/2002,ROBBERY,40-49,F,WHI,46
9/30/2010,BATTERY,60-69,M,API,2
12/31/2013,BATTERY,0-19,F,WHI,1
12/31/2006,ROBBERY,0-19,F,API,1
6/30/2013,HOMICIDE,0-19,F,WWH,1
6/30/2021,ASSAULT,0-19,UNKNOWN,UNKNOWN,4
12/31/2019,ROBBERY,60-69,F,API,3
3/31/2020,ASSAULT,60-69,F,BLK,5
12/31/2004,BATTERY,30-39,M,WBH,1
12/31/2008,HOMICIDE,50-59,M,BLK,1
6/30/2018,ROBBERY,80+,F,BLK,2
3/31/1994,HOMICIDE,0-19,M,BLK,1
6/30/2008,ROBBERY,70-79,F,WHI,9
6/30/2018,BATTERY,20-29,F,WHI,12
12/31/2005,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,9
6/30/2006,ASSAULT,50-59,F,WHI,5
6/30/2001,BATTERY,20-29,M,WHI,105
12/31/2012,ROBBERY,0-19,M,UNKNOWN,7
12/31/2015,ASSAULT,0-19,F,BLK,10
3/31/2017,ASSAULT,70-79,M,BLK,2
3/31/2017,ROBBERY,0-19,M,BLK,1
6/30/2010,ROBBERY,20-29,F,API,11
6/30/2005,ASSAULT,40-49,F,WWH,9
6/30/2005,CRIMINAL SEXUAL ASSAULT,20-29,F,WWH,1
9/30/2015,CRIMINAL SEXUAL ASSAULT,30-39,F,UNKNOWN,1
6/30/2015,ASSAULT,0-19,F,WHI,1
6/30/1993,HOMICIDE,20-29,M,BLK,47
12/31/2015,CRIMINAL SEXUAL ASSAULT,60-69,F,UNKNOWN,1
9/30/2006,BATTERY,0-19,F,UNKNOWN,1
6/30/1998,HOMICIDE,0-19,M,WWH,3
9/30/2018,ROBBERY,30-39,M,UNKNOWN,12
9/30/2020,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,5
6/30/2011,HOMICIDE,0-19,F,BLK,1
12/31/2009,BATTERY,20-29,M,BLK,83
12/31/2006,ASSAULT,60-69,M,BLK,6
12/31/2016,ASSAULT,40-49,M,UNKNOWN,9
12/31/2008,ROBBERY,40-49,M,BLK,336
3/31/2017,HOMICIDE,20-29,M,API,1
3/31/2001,ROBBERY,20-29,M,I,2
12/31/2018,ROBBERY,60-69,M,UNKNOWN,2
9/30/2014,CRIMINAL SEXUAL ASSAULT,20-29,F,BLK,46
6/30/2008,BATTERY,40-49,M,API,5
6/30/2014,BATTERY,20-29,M,WHI,38
6/30/2004,ROBBERY,20-29,F,WBH,2
9/30/1995,HOMICIDE,20-29,M,WWH,17
12/31/2019,ROBBERY,70-79,M,BLK,13
9/30/2022,CRIMINAL SEXUAL ASSAULT,0-19,UNKNOWN,WWH,1
9/30/2012,CRIMINAL SEXUAL ASSAULT,50-59,F,WWH,1
6/30/2002,ASSAULT,60-69,F,WHI,3
6/30/2020,ASSAULT,20-29,M,UNKNOWN,1
3/31/2014,HOMICIDE,40-49,M,BLK,2
12/31/2020,ASSAULT,50-59,M,API,5
3/31/2011,ROBBERY,60-69,F,BLK,15
12/31/2006,ASSAULT,UNKNOWN,M,BLK,7
12/31/2011,ROBBERY,40-49,F,BLK,5
3/31/2008,ROBBERY,60-69,M,BLK,2
12/31/2017,ASSAULT,50-59,M,BLK,52
6/30/2011,BATTERY,40-49,F,API,2
12/31/2015,BATTERY,70-79,F,BLK,2
6/30/2002,ASSAULT,50-59,M,API,3
9/30/2014,ASSAULT,0-19,M,BLK,5
9/30/2007,CRIMINAL SEXUAL ASSAULT,30-39,F,API,1
9/30/2012,ASSAULT,50-59,M,BLK,24
6/30/2016,BATTERY,50-59,M,WWH,2
3/31/2015,ROBBERY,20-29,F,UNKNOWN,1
6/30/2019,BATTERY,20-29,F,BLK,33
9/30/2013,ROBBERY,0-19,F,UNKNOWN,3
6/30/2011,ASSAULT,20-29,F,WWH,17
9/30/2005,ROBBERY,70-79,F,BLK,9
6/30/2001,HOMICIDE,0-19,M,BLK,2
12/31/2005,ROBBERY,20-29,F,BLK,217
12/31/2020,BATTERY,30-39,M,WWH,24
6/30/2016,HOMICIDE,50-59,M,WWH,2
3/31/2014,ROBBERY,30-39,F,BLK,5
9/30/2001,HOMICIDE,50-59,M,BLK,3
9/30/2008,BATTERY,80+,F,API,1
12/31/2012,BATTERY,0-19,M,UNKNOWN,2
3/31/2021,ROBBERY,70-79,M,WWH,2
3/31/2021,ASSAULT,0-19,M,WWH,7
6/30/2001,BATTERY,80+,M,BLK,1
6/30/1998,HOMICIDE,60-69,M,BLK,1
3/31/2013,BATTERY,UNKNOWN,M,BLK,1
6/30/2005,BATTERY,20-29,F,API,3
6/30/2001,ROBBERY,20-29,M,WHI,157
3/31/2004,BATTERY,60-69,F,BLK,2
6/30/2001,BATTERY,0-19,F,WWH,22
9/30/2020,ASSAULT,30-39,F,WHI,10
12/31/1995,HOMICIDE,0-19,M,WWH,7
9/30/2014,ROBBERY,40-49,F,BLK,62
6/30/2019,BATTERY,40-49,F,WHI,5
3/31/2013,BATTERY,0-19,F,BLK,28
9/30/2015,ROBBERY,80+,F,WHI,3
6/30/2020,HOMICIDE,30-39,F,WWH,1
9/30/2015,BATTERY,20-29,F,BLK,101
3/31/2013,ASSAULT,30-39,M,UNKNOWN,5
3/31/2015,BATTERY,50-59,F,BLK,9
6/30/2004,ROBBERY,40-49,F,API,1
6/30/2007,ASSAULT,UNKNOWN,M,WBH,1
3/31/2004,BATTERY,UNKNOWN,F,BLK,1
6/30/2011,BATTERY,20-29,F,WBH,1
9/30/2020,BATTERY,60-69,M,WWH,17
9/30/2004,ROBBERY,UNKNOWN,F,UNKNOWN,1
6/30/2007,ASSAULT,30-39,F,WHI,3
6/30/2008,BATTERY,70-79,F,WHI,1
3/31/2021,CRIMINAL SEXUAL ASSAULT,0-19,F,BLK,3
6/30/2010,BATTERY,0-19,M,WWH,3
6/30/2018,BATTERY,80+,F,BLK,2
3/31/2021,BATTERY,20-29,M,WWH,29
12/31/2003,ASSAULT,30-39,M,BLK,46
9/30/2014,BATTERY,30-39,F,UNKNOWN,1
12/31/2020,ASSAULT,60-69,F,WHI,1
3/31/2020,ROBBERY,0-19,M,WHI,16
3/31/2004,CRIMINAL SEXUAL ASSAULT,0-19,F,UNKNOWN,1
9/30/2004,HOMICIDE,40-49,M,BLK,5
12/31/2004,BATTERY,40-49,F,BLK,62
6/30/2009,BATTERY,0-19,F,WWH,17
9/30/2015,ROBBERY,50-59,F,UNKNOWN,4
6/30/2017,ROBBERY,30-39,M,WWH,105
3/31/2012,ASSAULT,20-29,M,BLK,87
3/31/2002,CRIMINAL SEXUAL ASSAULT,20-29,M,WHI,1
12/31/1997,HOMICIDE,20-29,M,WWH,16
9/30/2005,ASSAULT,0-19,F,BLK,51
12/31/2004,ROBBERY,30-39,F,UNKNOWN,1
6/30/2009,ROBBERY,40-49,M,WBH,3
3/31/2013,ROBBERY,50-59,UNKNOWN,API,1
6/30/2018,BATTERY,0-19,M,WWH,1
9/30/1999,HOMICIDE,0-19,F,BLK,1
9/30/2018,CRIMINAL SEXUAL ASSAULT,50-59,M,UNKNOWN,1
6/30/2018,HOMICIDE,30-39,M,BLK,28
9/30/2015,ROBBERY,30-39,M,I,1
3/31/2002,BATTERY,0-19,M,BLK,12
9/30/2003,ASSAULT,60-69,M,BLK,9
6/30/2004,ROBBERY,60-69,M,BLK,45
6/30/2014,ROBBERY,20-29,F,I,2
3/31/2009,ASSAULT,40-49,F,WWH,5
9/30/2013,HOMICIDE,60-69,F,BLK,1
12/31/2007,BATTERY,0-19,M,WBH,1
12/31/2012,CRIMINAL SEXUAL ASSAULT,0-19,M,WHI,1
9/30/2006,ASSAULT,20-29,M,WHI,3
12/31/2017,ROBBERY,0-19,F,WHI,6
3/31/2011,ROBBERY,20-29,M,WBH,3
9/30/2022,BATTERY,0-19,M,WHI,5
12/31/2001,BATTERY,50-59,M,WBH,1
6/30/2020,BATTERY,UNKNOWN,M,WHI,1
3/31/2015,CRIMINAL SEXUAL ASSAULT,80+,F,BLK,1
9/30/2020,HOMICIDE,40-49,M,WWH,6
6/30/2002,ROBBERY,80+,M,WWH,3
3/31/2001,ASSAULT,70-79,M,WWH,1
3/31/2010,ASSAULT,40-49,M,WWH,24
6/30/2021,BATTERY,40-49,M,WWH,17
12/31/2011,ROBBERY,50-59,F,WHI,18
12/31/2010,BATTERY,30-39,F,WHI,5
12/31/1991,HOMICIDE,30-39,M,BLK,6
6/30/2015,BATTERY,20-29,M,UNKNOWN,1
6/30/2018,CRIMINAL SEXUAL ASSAULT,50-59,F,BLK,12
6/30/2013,ROBBERY,0-19,M,BLK,221
12/31/2018,BATTERY,50-59,F,WBH,1
3/31/2017,BATTERY,30-39,F,WWH,6
6/30/1998,HOMICIDE,20-29,F,BLK,2
9/30/2007,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,1
9/30/2016,ROBBERY,20-29,F,WWH,76
12/31/2011,ROBBERY,80+,F,UNKNOWN,1
6/30/1996,HOMICIDE,0-19,F,WWH,1
9/30/2016,BATTERY,0-19,M,WHI,1
12/31/2016,ASSAULT,0-19,F,WWH,4
6/30/2002,ROBBERY,0-19,F,BLK,10
3/31/2001,ROBBERY,0-19,M,WWH,41
12/31/2007,ROBBERY,40-49,F,WWH,17
9/30/2009,BATTERY,60-69,M,WHI,1
6/30/2002,BATTERY,UNKNOWN,M,BLK,6
3/31/2008,ROBBERY,70-79,M,WHI,5
3/31/1998,HOMICIDE,0-19,M,WHI,2
12/31/2018,ASSAULT,50-59,F,WWH,2
9/30/2022,BATTERY,30-39,M,WHI,7
12/31/2014,ASSAULT,50-59,UNKNOWN,UNKNOWN,2
3/31/2003,CRIMINAL SEXUAL ASSAULT,40-49,F,BLK,4
3/31/2020,ASSAULT,20-29,F,WBH,1
6/30/2009,BATTERY,80+,M,BLK,3
12/31/2013,ASSAULT,20-29,F,UNKNOWN,3
9/30/1994,HOMICIDE,20-29,F,BLK,2
9/30/2003,ASSAULT,50-59,F,BLK,22
12/31/2004,ASSAULT,UNKNOWN,F,BLK,1
6/30/2019,BATTERY,20-29,F,WBH,3
3/31/2021,ASSAULT,0-19,M,WWH,3
3/31/2005,BATTERY,40-49,M,UNKNOWN,2
9/30/2014,ASSAULT,0-19,M,BLK,30
12/31/2009,ROBBERY,80+,M,API,1
6/30/2009,BATTERY,0-19,F,WWH,4
6/30/2001,BATTERY,0-19,F,WWH,5
9/30/2012,ASSAULT,60-69,F,BLK,3
9/30/2020,BATTERY,50-59,F,WWH,4
6/30/2016,ASSAULT,30-39,M,WHI,2
3/31/2022,CRIMINAL SEXUAL ASSAULT,0-19,F,API,1
6/30/2010,BATTERY,0-19,M,WWH,34
12/31/2021,BATTERY,20-29,M,WHI,16
6/30/2001,HOMICIDE,60-69,M,WHI,1
6/30/2014,BATTERY,20-29,M,API,6
12/31/2011,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,1
3/31/1993,HOMICIDE,20-29,M,WWH,2
12/31/2010,ROBBERY,20-29,M,BLK,344
6/30/2019,BATTERY,70-79,M,WHI,7
9/30/2019,CRIMINAL SEXUAL ASSAULT,70-79,F,BLK,2
3/31/2019,HOMICIDE,30-39,F,BLK,1
3/31/2004,BATTERY,50-59,M,BLK,55
9/30/2016,ROBBERY,20-29,F,BLK,12
6/30/2013,ASSAULT,40-49,F,WWH,6
6/30/2019,BATTERY,UNKNOWN,UNKNOWN,UNKNOWN,7
3/31/2018,ROBBERY,0-19,F,BLK,17
3/31/2017,BATTERY,30-39,F,BLK,51
3/31/2017,ROBBERY,20-29,M,I,3
3/31/2010,ASSAULT,40-49,M,BLK,23
12/31/2015,CRIMINAL SEXUAL ASSAULT,30-39,F,WWH,2
9/30/2011,ASSAULT,20-29,M,UNKNOWN,6
12/31/2016,ASSAULT,0-19,F,BLK,11
12/31/2019,ASSAULT,40-49,F,UNKNOWN,1
9/30/2017,ROBBERY,30-39,F,UNKNOWN,1
6/30/2015,CRIMINAL SEXUAL ASSAULT,40-49,F,BLK,7
9/30/2010,BATTERY,0-19,F,UNKNOWN,6
12/31/2010,ASSAULT,60-69,M,BLK,13
3/31/2001,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,6
12/31/2001,BATTERY,0-19,M,I,2
9/30/2016,BATTERY,50-59,F,UNKNOWN,1
6/30/2002,ROBBERY,0-19,F,WWH,13
9/30/2010,BATTERY,UNKNOWN,M,UNKNOWN,1
12/31/2018,ASSAULT,50-59,F,BLK,23
9/30/2021,CRIMINAL SEXUAL ASSAULT,20-29,F,WBH,1
3/31/2016,BATTERY,20-29,F,UNKNOWN,1
12/31/2012,CRIMINAL SEXUAL ASSAULT,50-59,F,UNKNOWN,1
3/31/2018,ASSAULT,70-79,F,BLK,3
3/31/2001,ROBBERY,80+,F,WWH,1
3/31/1999,HOMICIDE,40-49,M,BLK,3
6/30/2014,ASSAULT,30-39,M,WBH,1
12/31/2013,CRIMINAL SEXUAL ASSAULT,40-49,F,BLK,5
12/31/2020,HOMICIDE,0-19,M,WWH,3
12/31/2002,BATTERY,20-29,M,BLK,414
3/31/2009,ASSAULT,40-49,F,BLK,42
9/30/2017,BATTERY,40-49,F,BLK,40
9/30/2010,ASSAULT,30-39,M,BLK,77
3/31/2010,ROBBERY,UNKNOWN,M,BLK,5
12/31/2006,HOMICIDE,20-29,M,WWH,9
3/31/2016,ROBBERY,50-59,F,BLK,52
3/31/2017,ASSAULT,0-19,M,UNKNOWN,1
9/30/2008,ASSAULT,20-29,F,UNKNOWN,1
9/30/2012,ROBBERY,80+,M,API,2
9/30/2007,BATTERY,UNKNOWN,F,UNKNOWN,3
3/31/2017,ROBBERY,40-49,F,UNKNOWN,4
9/30/1997,HOMICIDE,50-59,M,BLK,1
12/31/2006,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,7
6/30/2017,CRIMINAL SEXUAL ASSAULT,40-49,M,WHI,1
9/30/1999,HOMICIDE,0-19,M,WHI,1
9/30/2009,ASSAULT,30-39,F,BLK,50
3/31/2009,ROBBERY,0-19,M,BLK,1
12/31/2019,ROBBERY,0-19,M,UNKNOWN,6
12/31/2007,ASSAULT,0-19,M,BLK,104
3/31/2007,HOMICIDE,40-49,M,BLK,1
9/30/2013,CRIMINAL SEXUAL ASSAULT,0-19,M,WWH,4
9/30/2006,BATTERY,70-79,F,BLK,2
9/30/1991,HOMICIDE,80+,F,WHI,2
3/31/2007,ROBBERY,60-69,F,BLK,10
9/30/2007,CRIMINAL SEXUAL ASSAULT,0-19,F,BLK,56
6/30/2006,ROBBERY,20-29,F,API,6
3/31/2008,ASSAULT,30-39,M,I,1
6/30/2014,BATTERY,30-39,M,WWH,32
3/31/2021,ROBBERY,50-59,F,API,4
6/30/2005,ASSAULT,50-59,F,WHI,1
3/31/2001,ROBBERY,0-19,M,BLK,1
9/30/2022,CRIMINAL SEXUAL ASSAULT,0-19,M,WHI,3
3/31/2015,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,2
3/31/2001,ASSAULT,70-79,M,BLK,2
12/31/2001,ASSAULT,50-59,M,BLK,27
12/31/2011,ROBBERY,0-19,M,UNKNOWN,6
3/31/2001,BATTERY,UNKNOWN,F,BLK,2
12/31/1997,HOMICIDE,0-19,M,WHI,1
12/31/2007,BATTERY,30-39,F,UNKNOWN,1
6/30/2003,ASSAULT,0-19,F,WHI,10
3/31/2010,ROBBERY,0-19,F,BLK,73
9/30/2002,ROBBERY,60-69,F,WHI,24
9/30/2022,ROBBERY,80+,F,WWH,2
9/30/2009,BATTERY,0-19,M,UNKNOWN,1
6/30/2021,BATTERY,70-79,F,BLK,6
3/31/2007,ROBBERY,UNKNOWN,F,BLK,5
3/31/2019,ASSAULT,60-69,F,UNKNOWN,1
3/31/2016,BATTERY,UNKNOWN,M,BLK,1
12/31/2005,HOMICIDE,50-59,F,BLK,1
12/31/2019,ROBBERY,UNKNOWN,F,UNKNOWN,1
6/30/2002,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,17
12/31/2007,ROBBERY,40-49,F,BLK,6
12/31/2009,ASSAULT,60-69,F,BLK,4
6/30/2005,CRIMINAL SEXUAL ASSAULT,30-39,F,WHI,1
6/30/2021,BATTERY,0-19,M,UNKNOWN,1
12/31/2008,BATTERY,50-59,M,I,1
3/31/2019,BATTERY,20-29,F,UNKNOWN,2
3/31/2011,ROBBERY,60-69,M,BLK,1
3/31/2018,BATTERY,30-39,F,BLK,59
6/30/2005,ROBBERY,0-19,F,WWH,22
3/31/2020,ROBBERY,0-19,F,API,1
9/30/2018,BATTERY,40-49,F,BLK,38
3/31/2006,ASSAULT,40-49,F,BLK,40
6/30/2020,ASSAULT,40-49,M,I,2
6/30/1999,HOMICIDE,30-39,F,BLK,2
9/30/2008,BATTERY,UNKNOWN,F,UNKNOWN,1
12/31/2009,CRIMINAL SEXUAL ASSAULT,0-19,F,WHI,3
9/30/2019,ROBBERY,20-29,F,BLK,17
6/30/1996,HOMICIDE,30-39,M,BLK,17
3/31/2016,ASSAULT,60-69,F,UNKNOWN,1
9/30/2010,BATTERY,70-79,M,BLK,3
9/30/2017,CRIMINAL SEXUAL ASSAULT,0-19,F,BLK,52
6/30/2011,BATTERY,40-49,M,API,2
3/31/2017,ROBBERY,0-19,F,BLK,23
9/30/2003,ASSAULT,20-29,M,WWH,87
3/31/1999,HOMICIDE,0-19,M,BLK,9
6/30/2020,ASSAULT,20-29,F,UNKNOWN,12
9/30/2014,ROBBERY,30-39,UNKNOWN,WWH,1
6/30/2002,ASSAULT,30-39,F,WBH,2
9/30/2022,ROBBERY,20-29,M,WWH,1
3/31/2009,ROBBERY,70-79,F,UNKNOWN,1
9/30/2006,ASSAULT,30-39,F,BLK,60
6/30/2009,ROBBERY,20-29,F,API,12
3/31/2001,ASSAULT,0-19,F,UNKNOWN,1
12/31/2011,ASSAULT,0-19,F,BLK,4
12/31/2010,BATTERY,20-29,M,BLK,85
9/30/2019,ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,83
6/30/2008,HOMICIDE,60-69,M,WWH,1
6/30/2012,ROBBERY,60-69,F,WWH,10
3/31/2000,HOMICIDE,20-29,M,BLK,3
6/30/2016,ASSAULT,30-39,F,API,2
12/31/2010,ROBBERY,80+,M,WHI,1
3/31/2018,ROBBERY,0-19,M,API,1
3/31/2004,ASSAULT,20-29,F,WHI,6
12/31/2015,ASSAULT,30-39,F,WHI,9
3/31/2013,CRIMINAL SEXUAL ASSAULT,50-59,F,API,1
6/30/2021,CRIMINAL SEXUAL ASSAULT,UNKNOWN,F,UNKNOWN,8
6/30/1994,HOMICIDE,20-29,M,BLK,7
3/31/2015,BATTERY,40-49,M,WWH,6
12/31/2011,CRIMINAL SEXUAL ASSAULT,30-39,M,WWH,1
6/30/2016,BATTERY,40-49,F,BLK,20
3/31/2015,HOMICIDE,30-39,M,BLK,11
12/31/2020,ROBBERY,30-39,M,I,2
6/30/2007,BATTERY,70-79,F,BLK,1
12/31/2011,BATTERY,50-59,UNKNOWN,UNKNOWN,2
9/30/2010,HOMICIDE,30-39,M,WHI,1
12/31/2015,BATTERY,60-69,M,WWH,1
12/31/2004,BATTERY,50-59,M,WWH,7
12/31/2020,BATTERY,0-19,M,BLK,4
9/30/2007,ROBBERY,20-29,F,API,10
9/30/2003,CRIMINAL SEXUAL ASSAULT,0-19,M,BLK,19
6/30/2006,CRIMINAL SEXUAL ASSAULT,0-19,F,BLK,31
3/31/2014,ROBBERY,20-29,M,WWH,71
3/31/2003,BATTERY,50-59,M,WHI,2
12/31/2020,BATTERY,20-29,F,BLK,157
3/31/2001,ASSAULT,40-49,M,API,5
9/30/1997,HOMICIDE,20-29,F,BLK,2
3/31/2005,BATTERY,0-19,M,WHI,1
6/30/2017,HOMICIDE,0-19,F,WWH,1
9/30/2001,BATTERY,20-29,UNKNOWN,BLK,1
12/31/2016,CRIMINAL SEXUAL ASSAULT,50-59,M,UNKNOWN,1
9/30/2017,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,18
12/31/2009,ASSAULT,50-59,F,API,1
12/31/2018,ASSAULT,60-69,F,API,1
6/30/2021,BATTERY,40-49,F,API,3
12/31/2005,CRIMINAL SEXUAL ASSAULT,30-39,F,BLK,27
12/31/2020,ROBBERY,80+,F,WHI,3
9/30/2003,BATTERY,20-29,M,WHI,92
9/30/2018,BATTERY,UNKNOWN,UNKNOWN,UNKNOWN,11
3/31/2010,BATTERY,0-19,F,BLK,87
3/31/2010,ASSAULT,30-39,M,UNKNOWN,2
12/31/2022,HOMICIDE,20-29,F,BLK,1
12/31/2007,ROBBERY,30-39,F,UNKNOWN,3
3/31/2018,BATTERY,0-19,F,BLK,16
6/30/1995,HOMICIDE,20-29,F,WWH,1
6/30/2010,BATTERY,70-79,UNKNOWN,BLK,1
6/30/2012,ASSAULT,20-29,F,WWH,19
12/31/2007,ROBBERY,50-59,M,I,1
3/31/2001,BATTERY,0-19,M,BLK,16
6/30/2013,BATTERY,0-19,M,WWH,3
12/31/2011,BATTERY,0-19,M,UNKNOWN,1
6/30/2004,BATTERY,60-69,M,WWH,3
3/31/2010,BATTERY,UNKNOWN,M,BLK,5
3/31/2011,ASSAULT,20-29,M,BLK,71
9/30/2007,ROBBERY,UNKNOWN,F,UNKNOWN,1
12/31/2016,BATTERY,70-79,F,BLK,2
9/30/2008,CRIMINAL SEXUAL ASSAULT,30-39,F,BLK,4
6/30/2003,BATTERY,40-49,M,WHI,6
6/30/2004,ASSAULT,30-39,F,WHI,6
6/30/2020,HOMICIDE,0-19,M,BLK,1
3/31/2009,BATTERY,0-19,M,BLK,25
6/30/2012,BATTERY,70-79,M,WHI,1
3/31/2008,ASSAULT,20-29,F,BLK,71
6/30/2015,BATTERY,50-59,M,WWH,4
6/30/2021,ASSAULT,0-19,F,BLK,15
6/30/2021,BATTERY,60-69,M,I,1
9/30/2010,ROBBERY,0-19,F,UNKNOWN,3
12/31/1997,HOMICIDE,40-49,M,WHI,2
12/31/2019,BATTERY,0-19,M,UNKNOWN,4
3/31/2016,BATTERY,50-59,F,BLK,20
12/31/2005,HOMICIDE,20-29,M,BLK,1
12/31/2009,CRIMINAL SEXUAL ASSAULT,30-39,F,WHI,8
9/30/2016,ROBBERY,50-59,F,UNKNOWN,3
12/31/2007,BATTERY,40-49,F,BLK,47
9/30/2017,BATTERY,30-39,F,UNKNOWN,1
9/30/2011,ASSAULT,50-59,M,BLK,15
6/30/2006,BATTERY,20-29,F,API,2
9/30/2018,ROBBERY,0-19,F,UNKNOWN,1
9/30/2016,BATTERY,20-29,F,BLK,118
9/30/2016,ROBBERY,30-39,M,I,3
9/30/2017,ROBBERY,40-49,F,BLK,80
3/31/2001,CRIMINAL SEXUAL ASSAULT,20-29,M,WHI,1
9/30/2010,ASSAULT,40-49,M,UNKNOWN,1
9/30/2020,ROBBERY,40-49,F,API,9
12/31/1991,HOMICIDE,20-29,M,BLK,4
9/30/2009,ASSAULT,40-49,F,UNKNOWN,3
